Country Name,Year,Indicator Name,Value
Djibouti,2015,"Prevalence of obesity, female (% of female population ages 18+)",18
Djibouti,2014,"Prevalence of obesity, female (% of female population ages 18+)",17.6
Djibouti,2013,"Prevalence of obesity, female (% of female population ages 18+)",17.3
Djibouti,2012,"Prevalence of obesity, female (% of female population ages 18+)",16.9
Djibouti,2011,"Prevalence of obesity, female (% of female population ages 18+)",16.6
Djibouti,2010,"Prevalence of obesity, female (% of female population ages 18+)",16.3
Djibouti,2009,"Prevalence of obesity, female (% of female population ages 18+)",15.9
Djibouti,2008,"Prevalence of obesity, female (% of female population ages 18+)",15.6
Djibouti,2007,"Prevalence of obesity, female (% of female population ages 18+)",15.3
Djibouti,2006,"Prevalence of obesity, female (% of female population ages 18+)",15
Djibouti,2005,"Prevalence of obesity, female (% of female population ages 18+)",14.7
Djibouti,2004,"Prevalence of obesity, female (% of female population ages 18+)",14.4
Djibouti,2003,"Prevalence of obesity, female (% of female population ages 18+)",14.1
Djibouti,2002,"Prevalence of obesity, female (% of female population ages 18+)",13.9
Djibouti,2001,"Prevalence of obesity, female (% of female population ages 18+)",13.6
Djibouti,2000,"Prevalence of obesity, female (% of female population ages 18+)",13.3
Djibouti,1999,"Prevalence of obesity, female (% of female population ages 18+)",13.1
Djibouti,1998,"Prevalence of obesity, female (% of female population ages 18+)",12.8
Djibouti,1997,"Prevalence of obesity, female (% of female population ages 18+)",12.6
Djibouti,1996,"Prevalence of obesity, female (% of female population ages 18+)",12.3
Djibouti,1995,"Prevalence of obesity, female (% of female population ages 18+)",12.1
Djibouti,1994,"Prevalence of obesity, female (% of female population ages 18+)",11.8
Djibouti,1993,"Prevalence of obesity, female (% of female population ages 18+)",11.6
Djibouti,1992,"Prevalence of obesity, female (% of female population ages 18+)",11.4
Djibouti,1991,"Prevalence of obesity, female (% of female population ages 18+)",11.1
Djibouti,1990,"Prevalence of obesity, female (% of female population ages 18+)",10.9
Djibouti,1989,"Prevalence of obesity, female (% of female population ages 18+)",10.6
Djibouti,1988,"Prevalence of obesity, female (% of female population ages 18+)",10.3
Djibouti,1987,"Prevalence of obesity, female (% of female population ages 18+)",10.1
Djibouti,1986,"Prevalence of obesity, female (% of female population ages 18+)",9.8
Djibouti,1985,"Prevalence of obesity, female (% of female population ages 18+)",9.5
Djibouti,1984,"Prevalence of obesity, female (% of female population ages 18+)",9.2
Djibouti,1983,"Prevalence of obesity, female (% of female population ages 18+)",8.9
Djibouti,1982,"Prevalence of obesity, female (% of female population ages 18+)",8.6
Djibouti,1981,"Prevalence of obesity, female (% of female population ages 18+)",8.3
Djibouti,1980,"Prevalence of obesity, female (% of female population ages 18+)",7.9
Djibouti,1979,"Prevalence of obesity, female (% of female population ages 18+)",7.6
Djibouti,1978,"Prevalence of obesity, female (% of female population ages 18+)",7.3
Djibouti,1977,"Prevalence of obesity, female (% of female population ages 18+)",7
Djibouti,1976,"Prevalence of obesity, female (% of female population ages 18+)",6.7
Djibouti,1975,"Prevalence of obesity, female (% of female population ages 18+)",6.4
Djibouti,2015,"Prevalence of obesity, male (% of male population ages 18+)",8.3
Djibouti,2014,"Prevalence of obesity, male (% of male population ages 18+)",8.1
Djibouti,2013,"Prevalence of obesity, male (% of male population ages 18+)",7.8
Djibouti,2012,"Prevalence of obesity, male (% of male population ages 18+)",7.6
Djibouti,2011,"Prevalence of obesity, male (% of male population ages 18+)",7.3
Djibouti,2010,"Prevalence of obesity, male (% of male population ages 18+)",7.1
Djibouti,2009,"Prevalence of obesity, male (% of male population ages 18+)",6.9
Djibouti,2008,"Prevalence of obesity, male (% of male population ages 18+)",6.7
Djibouti,2007,"Prevalence of obesity, male (% of male population ages 18+)",6.5
Djibouti,2006,"Prevalence of obesity, male (% of male population ages 18+)",6.3
Djibouti,2005,"Prevalence of obesity, male (% of male population ages 18+)",6.1
Djibouti,2004,"Prevalence of obesity, male (% of male population ages 18+)",5.9
Djibouti,2003,"Prevalence of obesity, male (% of male population ages 18+)",5.7
Djibouti,2002,"Prevalence of obesity, male (% of male population ages 18+)",5.5
Djibouti,2001,"Prevalence of obesity, male (% of male population ages 18+)",5.4
Djibouti,2000,"Prevalence of obesity, male (% of male population ages 18+)",5.2
Djibouti,1999,"Prevalence of obesity, male (% of male population ages 18+)",5
Djibouti,1998,"Prevalence of obesity, male (% of male population ages 18+)",4.9
Djibouti,1997,"Prevalence of obesity, male (% of male population ages 18+)",4.7
Djibouti,1996,"Prevalence of obesity, male (% of male population ages 18+)",4.5
Djibouti,1995,"Prevalence of obesity, male (% of male population ages 18+)",4.4
Djibouti,1994,"Prevalence of obesity, male (% of male population ages 18+)",4.2
Djibouti,1993,"Prevalence of obesity, male (% of male population ages 18+)",4.1
Djibouti,1992,"Prevalence of obesity, male (% of male population ages 18+)",3.9
Djibouti,1991,"Prevalence of obesity, male (% of male population ages 18+)",3.8
Djibouti,1990,"Prevalence of obesity, male (% of male population ages 18+)",3.6
Djibouti,1989,"Prevalence of obesity, male (% of male population ages 18+)",3.5
Djibouti,1988,"Prevalence of obesity, male (% of male population ages 18+)",3.3
Djibouti,1987,"Prevalence of obesity, male (% of male population ages 18+)",3.2
Djibouti,1986,"Prevalence of obesity, male (% of male population ages 18+)",3
Djibouti,1985,"Prevalence of obesity, male (% of male population ages 18+)",2.9
Djibouti,1984,"Prevalence of obesity, male (% of male population ages 18+)",2.7
Djibouti,1983,"Prevalence of obesity, male (% of male population ages 18+)",2.6
Djibouti,1982,"Prevalence of obesity, male (% of male population ages 18+)",2.4
Djibouti,1981,"Prevalence of obesity, male (% of male population ages 18+)",2.3
Djibouti,1980,"Prevalence of obesity, male (% of male population ages 18+)",2.2
Djibouti,1979,"Prevalence of obesity, male (% of male population ages 18+)",2
Djibouti,1978,"Prevalence of obesity, male (% of male population ages 18+)",1.9
Djibouti,1977,"Prevalence of obesity, male (% of male population ages 18+)",1.8
Djibouti,1976,"Prevalence of obesity, male (% of male population ages 18+)",1.6
Djibouti,1975,"Prevalence of obesity, male (% of male population ages 18+)",1.5